Id,tanggal,tweet_clean,retweet,token,stop,stemmed
1.66e+18,13/05/2023,SeaGamesFT  Indonesia  Vietnam Komang  Nguyen  GBD Pratama Arhan  Taufany  Nguyen  Bagas  GBDLolos ke final dengan  pemain  ,4414,"['SeaGamesFT', 'Indonesia', 'Vietnam', 'Komang', 'Nguyen', 'GBD', 'Pratama', 'Arhan', 'Taufany', 'Nguyen', 'Bagas', 'GBDLolos', 'ke', 'final', 'dengan', 'pemain']","['SeaGamesFT', 'Indonesia', 'Vietnam', 'Komang', 'Nguyen', 'GBD', 'Pratama', 'Arhan', 'Taufany', 'Nguyen', 'Bagas', 'GBDLolos', 'final', 'pemain']","['seagamesft', 'indonesia', 'vietnam', 'komang', 'nguyen', 'gbd', 'pratama', 'arhan', 'taufany', 'nguyen', 'bagas', 'gbdlolos', 'final', 'main']"
1.66e+18,13/05/2023,Goal Taufany yang mengantarkan Indonesia ke final Sea Games ,1141,"['Goal', 'Taufany', 'yang', 'mengantarkan', 'Indonesia', 'ke', 'final', 'Sea', 'Games']","['Goal', 'Taufany', 'mengantarkan', 'Indonesia', 'final', 'Sea', 'Games']","['goal', 'taufany', 'antar', 'indonesia', 'final', 'sea', 'games']"
1.66e+18,11/5/2023,Mens Team  FINALINA  MASPramudya KusumawardanaYeremia Erich Yoche Yacob Rambitan vs Chia Wei JieLiew Xun  MENANGSEAGames Cambodia,807,"['Mens', 'Team', 'FINALINA', 'MASPramudya', 'KusumawardanaYeremia', 'Erich', 'Yoche', 'Yacob', 'Rambitan', 'vs', 'Chia', 'Wei', 'JieLiew', 'Xun', 'MENANGSEAGames', 'Cambodia']","['Mens', 'Team', 'FINALINA', 'MASPramudya', 'KusumawardanaYeremia', 'Erich', 'Yoche', 'Yacob', 'Rambitan', 'vs', 'Chia', 'Wei', 'JieLiew', 'Xun', 'MENANGSEAGames', 'Cambodia']","['mens', 'team', 'finalina', 'maspramudya', 'kusumawardanayeremia', 'erich', 'yoche', 'yacob', 'rambitan', 'vs', 'chia', 'wei', 'jieliew', 'xun', 'menangseagames', 'cambodia']"
1.66e+18,14/05/2023, Pertandingan semi final Indonesia vs Vietnam di National olympic stadium pnomph penh Kamboja GueBarengErickT…,2,"['Pertandingan', 'semi', 'final', 'Indonesia', 'vs', 'Vietnam', 'di', 'National', 'olympic', 'stadium', 'pnomph', 'penh', 'Kamboja', 'GueBarengErickT…']","['Pertandingan', 'semi', 'final', 'Indonesia', 'vs', 'Vietnam', 'National', 'olympic', 'stadium', 'pnomph', 'penh', 'Kamboja', 'GueBarengErickT…']","['tanding', 'semi', 'final', 'indonesia', 'vs', 'vietnam', 'national', 'olympic', 'stadium', 'pnomph', 'penh', 'kamboja', 'guebarengerickt']"
1.66e+18,14/05/2023, Ketua umum PSSI  Makan siang bersama pemain timnas dan official team di lanjutkan dgn firebriefing sebelum laga s…,1,"['Ketua', 'umum', 'PSSI', 'Makan', 'siang', 'bersama', 'pemain', 'timnas', 'dan', 'official', 'team', 'di', 'lanjutkan', 'dgn', 'firebriefing', 'sebelum', 'laga', 's…']","['Ketua', 'umum', 'PSSI', 'Makan', 'siang', 'bersama', 'pemain', 'timnas', 'official', 'team', 'lanjutkan', 'dgn', 'firebriefing', 'laga', 's…']","['ketua', 'umum', 'pssi', 'makan', 'siang', 'sama', 'main', 'timnas', 'official', 'team', 'lanjut', 'dgn', 'firebriefing', 'laga', 's']"
1.66e+18,14/05/2023, SahaginFinal FantasyFamicom ,11,"['SahaginFinal', 'FantasyFamicom']","['SahaginFinal', 'FantasyFamicom']","['sahaginfinal', 'fantasyfamicom']"
1.66e+18,14/05/2023, Indonesia lolos dramatis ke final SEA Games  Pada final ke ini Timnas akan menunggu pemenang Thailand vs Myanm…,92,"['Indonesia', 'lolos', 'dramatis', 'ke', 'final', 'SEA', 'Games', 'Pada', 'final', 'ke', 'ini', 'Timnas', 'akan', 'menunggu', 'pemenang', 'Thailand', 'vs', 'Myanm…']","['Indonesia', 'lolos', 'dramatis', 'final', 'SEA', 'Games', 'Pada', 'final', 'Timnas', 'menunggu', 'pemenang', 'Thailand', 'vs', 'Myanm…']","['indonesia', 'lolos', 'dramatis', 'final', 'sea', 'games', 'pada', 'final', 'timnas', 'tunggu', 'menang', 'thailand', 'vs', 'myanm']"
1.66e+18,14/05/2023,Lolos ke Final Indra Sjafri Puji Anak Asuhnya Bermain Solid dan Percaya Diri ,0,"['Lolos', 'ke', 'Final', 'Indra', 'Sjafri', 'Puji', 'Anak', 'Asuhnya', 'Bermain', 'Solid', 'dan', 'Percaya', 'Diri']","['Lolos', 'Final', 'Indra', 'Sjafri', 'Puji', 'Anak', 'Asuhnya', 'Bermain', 'Solid', 'Percaya', 'Diri']","['lolos', 'final', 'indra', 'sjafri', 'puji', 'anak', 'asuh', 'main', 'solid', 'percaya', 'diri']"
1.66e+18,14/05/2023, Momen gol yang dicetak Muhammad Taufany pada menit  Mengantarkan Indonesia ke final SEA Games  Di final I…,427,"['Momen', 'gol', 'yang', 'dicetak', 'Muhammad', 'Taufany', 'pada', 'menit', 'Mengantarkan', 'Indonesia', 'ke', 'final', 'SEA', 'Games', 'Di', 'final', 'I…']","['Momen', 'gol', 'dicetak', 'Muhammad', 'Taufany', 'menit', 'Mengantarkan', 'Indonesia', 'final', 'SEA', 'Games', 'Di', 'final', 'I…']","['momen', 'gol', 'cetak', 'muhammad', 'taufany', 'menit', 'antar', 'indonesia', 'final', 'sea', 'games', 'di', 'final', 'i']"
1.66e+18,14/05/2023, Saking respeknya di final bahkan setelah kalah dari Indonesia mereka tuh malah meneriakkan nama INDONESIA ramai  ramai…,274,"['Saking', 'respeknya', 'di', 'final', 'bahkan', 'setelah', 'kalah', 'dari', 'Indonesia', 'mereka', 'tuh', 'malah', 'meneriakkan', 'nama', 'INDONESIA', 'ramai', 'ramai…']","['Saking', 'respeknya', 'final', 'bahkan', 'kalah', 'Indonesia', 'tuh', 'malah', 'meneriakkan', 'nama', 'INDONESIA', 'ramai', 'ramai…']","['saking', 'respek', 'final', 'bahkan', 'kalah', 'indonesia', 'tuh', 'malah', 'teriak', 'nama', 'indonesia', 'ramai', 'ramai']"
